service_id,visit_id,car_id,tanggal,km_saat_servis,cabang,mekanik,kategori_servis,item_servis,qty,harga
SVC000005,V000001,CAR0001,2022-04-04,12064,Cabang Krakatau,Mekanik Rudi,Tune Up,Tune Up / Servis Berkala,1,572000
SVC000006,V000001,CAR0001,2022-04-04,12064,Cabang Krakatau,Mekanik Rudi,Kelistrikan,Aki/Accu,1,1848000
SVC000002,V000001,CAR0001,2022-04-04,12064,Cabang Krakatau,Mekanik Rudi,Oli & Filter,Filter Oli,1,76000
SVC000003,V000001,CAR0001,2022-04-04,12064,Cabang Krakatau,Mekanik Rudi,Oli & Filter,Filter Udara,1,246000
SVC028544,V007950,CAR0066,2022-04-05,74076,Cabang Krakatau,Mekanik Dani,Kelistrikan,Aki/Accu,1,1627000
SVC028592,V007991,CAR0532,2022-04-05,143989,Cabang Sisingamangaraja,Mekanik Joni,Rem & Kaki,Ban (per pcs),4,1239000
SVC028208,V007669,CAR0231,2022-04-07,80706,Cabang Gatot Subroto,Mekanik Sahat,Rem & Kaki,Ban (per pcs),4,1311000
SVC004841,V001249,CAR0116,2022-04-08,7785,Cabang Ringroad,Mekanik Hasan,Oli & Filter,Ganti Oli Mesin,1,650000
SVC004842,V001249,CAR0116,2022-04-08,7785,Cabang Ringroad,Mekanik Hasan,Oli & Filter,Filter Oli,1,80000
SVC004844,V001249,CAR0116,2022-04-08,7785,Cabang Ringroad,Mekanik Hasan,Oli & Filter,Filter Kabin/AC,1,97000
SVC004843,V001249,CAR0116,2022-04-08,7785,Cabang Ringroad,Mekanik Hasan,Oli & Filter,Filter Udara,1,226000
SVC028943,V008286,CAR0254,2022-04-08,155460,Cabang Setia Budi,Mekanik Beni,Kelistrikan,Aki/Accu,1,1458000
SVC027649,V007195,CAR0468,2022-04-10,80902,Cabang Gatot Subroto,Mekanik Dani,Tune Up,Busi (set),1,448000
SVC028635,V008026,CAR0455,2022-04-10,179730,Cabang Krakatau,Mekanik Hasan,Pendingin,Coolant/Radiator,1,215000
SVC027539,V007103,CAR0571,2022-04-12,146641,Cabang Sisingamangaraja,Mekanik Dani,Rem & Kaki,Ban (per pcs),4,1004000
SVC027783,V007305,CAR0273,2022-04-12,35173,Cabang Krakatau,Mekanik Joni,Tune Up,Busi (set),1,317000
SVC007500,V001936,CAR0169,2022-04-14,20780,Cabang Ringroad,Mekanik Anto,Oli & Filter,Ganti Oli Mesin,1,650000
SVC007501,V001936,CAR0169,2022-04-14,20780,Cabang Ringroad,Mekanik Anto,Oli & Filter,Filter Udara,1,121000
SVC007502,V001936,CAR0169,2022-04-14,20780,Cabang Ringroad,Mekanik Anto,Oli & Filter,Filter Kabin/AC,1,145000
SVC006994,V001805,CAR0160,2022-04-16,46816,Cabang Krakatau,Mekanik Anto,Oli & Filter,Filter Oli,1,88000
SVC028675,V008061,CAR0440,2022-04-16,36013,Cabang Sisingamangaraja,Mekanik Anto,Rem & Kaki,Ban (per pcs),4,1221000
SVC006993,V001805,CAR0160,2022-04-16,46816,Cabang Krakatau,Mekanik Anto,Oli & Filter,Ganti Oli Mesin,1,760000
SVC027970,V007463,CAR0496,2022-04-16,76291,Cabang Krakatau,Mekanik Rudi,Rem & Kaki,Ban (per pcs),4,789000
SVC006995,V001805,CAR0160,2022-04-16,46816,Cabang Krakatau,Mekanik Anto,Oli & Filter,Filter Udara,1,204000
SVC027677,V007217,CAR0552,2022-04-17,101378,Cabang Setia Budi,Mekanik Hasan,Rem & Kaki,Kampas Rem Belakang,1,557000
SVC027676,V007217,CAR0552,2022-04-17,101378,Cabang Setia Budi,Mekanik Hasan,Rem & Kaki,Kampas Rem Depan,1,661000
SVC029020,V008352,CAR0059,2022-04-17,145344,Cabang Gatot Subroto,Mekanik Hasan,Kelistrikan,Aki/Accu,1,1192000
SVC027865,V007372,CAR0207,2022-04-18,73140,Cabang Krakatau,Mekanik Joni,Rem & Kaki,Spooring & Balancing,1,292000
SVC027563,V007124,CAR0541,2022-04-18,161334,Cabang Sisingamangaraja,Mekanik Sahat,Tune Up,Busi (set),1,397000
SVC023304,V006006,CAR0524,2022-04-21,19863,Cabang Ringroad,Mekanik Dani,Rem & Kaki,Kampas Rem Depan,1,761000
SVC027860,V007367,CAR0234,2022-04-21,112914,Cabang Setia Budi,Mekanik Rudi,Rem & Kaki,Ban (per pcs),4,1029000
SVC023302,V006006,CAR0524,2022-04-21,19863,Cabang Ringroad,Mekanik Dani,Oli & Filter,Ganti Oli Mesin,1,330000
SVC023303,V006006,CAR0524,2022-04-21,19863,Cabang Ringroad,Mekanik Dani,Oli & Filter,Filter Oli,1,93000
SVC028183,V007649,CAR0229,2022-04-22,133836,Cabang Sisingamangaraja,Mekanik Hasan,Pendingin,Servis AC,1,580000
SVC027768,V007293,CAR0557,2022-04-22,48275,Cabang Krakatau,Mekanik Tigor,Rem & Kaki,Ban (per pcs),4,731000
SVC027948,V007446,CAR0442,2022-04-22,141552,Cabang Sisingamangaraja,Mekanik Rudi,Rem & Kaki,Ban (per pcs),4,717000
SVC028478,V007895,CAR0202,2022-04-23,171796,Cabang Krakatau,Mekanik Tigor,Rem & Kaki,Spooring & Balancing,1,301000
SVC016559,V004265,CAR0379,2022-04-23,40861,Cabang Gatot Subroto,Mekanik Anto,Oli & Filter,Ganti Oli Mesin,1,500000
SVC016561,V004265,CAR0379,2022-04-23,40861,Cabang Gatot Subroto,Mekanik Anto,Lainnya,Wiper,1,134000
SVC028040,V007522,CAR0112,2022-04-23,91807,Cabang Setia Budi,Mekanik Sahat,Rem & Kaki,Spooring & Balancing,1,397000
SVC016560,V004265,CAR0379,2022-04-23,40861,Cabang Gatot Subroto,Mekanik Anto,Oli & Filter,Filter Udara,1,152000
SVC028041,V007522,CAR0112,2022-04-23,91807,Cabang Setia Budi,Mekanik Sahat,Rem & Kaki,Ban (per pcs),2,888000
SVC028063,V007541,CAR0573,2022-04-25,107525,Cabang Krakatau,Mekanik Beni,Rem & Kaki,Ban (per pcs),2,1022000
SVC028062,V007541,CAR0573,2022-04-25,107525,Cabang Krakatau,Mekanik Beni,Rem & Kaki,Spooring & Balancing,1,259000
SVC025053,V006459,CAR0562,2022-04-26,26164,Cabang Sisingamangaraja,Mekanik Tigor,Oli & Filter,Filter Udara,1,195000
SVC023985,V006191,CAR0537,2022-04-26,18588,Cabang Setia Budi,Mekanik Joni,Oli & Filter,Ganti Oli Mesin,1,500000
SVC017339,V004466,CAR0394,2022-04-26,28520,Cabang Krakatau,Mekanik Joni,Oli & Filter,Ganti Oli Mesin,1,450000
SVC023986,V006191,CAR0537,2022-04-26,18588,Cabang Setia Budi,Mekanik Joni,Oli & Filter,Filter Oli,1,67000
SVC017340,V004466,CAR0394,2022-04-26,28520,Cabang Krakatau,Mekanik Joni,Oli & Filter,Filter Udara,1,137000
SVC017341,V004466,CAR0394,2022-04-26,28520,Cabang Krakatau,Mekanik Joni,Pendingin,Coolant/Radiator,1,246000
SVC023987,V006191,CAR0537,2022-04-26,18588,Cabang Setia Budi,Mekanik Joni,Oli & Filter,Filter Kabin/AC,1,152000
SVC027944,V007442,CAR0466,2022-04-26,112027,Cabang Sisingamangaraja,Mekanik Tigor,Rem & Kaki,Spooring & Balancing,1,387000
SVC025052,V006459,CAR0562,2022-04-26,26164,Cabang Sisingamangaraja,Mekanik Tigor,Oli & Filter,Filter Oli,1,66000
SVC025051,V006459,CAR0562,2022-04-26,26164,Cabang Sisingamangaraja,Mekanik Tigor,Oli & Filter,Ganti Oli Mesin,1,330000
SVC006717,V001733,CAR0154,2022-04-27,36672,Cabang Gatot Subroto,Mekanik Joni,Oli & Filter,Filter Kabin/AC,1,114000
SVC006716,V001733,CAR0154,2022-04-27,36672,Cabang Gatot Subroto,Mekanik Joni,Oli & Filter,Filter Udara,1,240000
SVC006715,V001733,CAR0154,2022-04-27,36672,Cabang Gatot Subroto,Mekanik Joni,Oli & Filter,Filter Oli,1,61000
SVC006714,V001733,CAR0154,2022-04-27,36672,Cabang Gatot Subroto,Mekanik Joni,Oli & Filter,Ganti Oli Mesin,1,510000
SVC027913,V007415,CAR0004,2022-04-27,169871,Cabang Krakatau,Mekanik Sahat,Kelistrikan,Aki/Accu,1,962000
SVC028613,V008008,CAR0302,2022-04-27,20784,Cabang Sisingamangaraja,Mekanik Hasan,Tune Up,Busi (set),1,452000
SVC028933,V008279,CAR0241,2022-04-27,176015,Cabang Krakatau,Mekanik Dani,Oli & Filter,Filter Kabin/AC,1,147000
SVC016171,V004165,CAR0370,2022-04-27,58007,Cabang Ringroad,Mekanik Sahat,Oli & Filter,Filter Oli,1,61000
SVC016172,V004165,CAR0370,2022-04-27,58007,Cabang Ringroad,Mekanik Sahat,Oli & Filter,Filter Udara,1,182000
SVC016173,V004165,CAR0370,2022-04-27,58007,Cabang Ringroad,Mekanik Sahat,Rem & Kaki,Kampas Rem Depan,1,798000
SVC016174,V004165,CAR0370,2022-04-27,58007,Cabang Ringroad,Mekanik Sahat,Pendingin,Coolant/Radiator,1,221000
SVC028932,V008279,CAR0241,2022-04-27,176015,Cabang Krakatau,Mekanik Dani,Pendingin,Servis AC,1,523000
SVC016170,V004165,CAR0370,2022-04-27,58007,Cabang Ringroad,Mekanik Sahat,Oli & Filter,Ganti Oli Mesin,1,540000
SVC028908,V008258,CAR0345,2022-04-28,110563,Cabang Gatot Subroto,Mekanik Rudi,Pendingin,Coolant/Radiator,1,219000
SVC012685,V003260,CAR0299,2022-04-29,22238,Cabang Setia Budi,Mekanik Beni,Oli & Filter,Ganti Oli Mesin,1,420000
SVC016895,V004351,CAR0385,2022-04-29,45056,Cabang Gatot Subroto,Mekanik Anto,Oli & Filter,Ganti Oli Mesin,1,420000
SVC016896,V004351,CAR0385,2022-04-29,45056,Cabang Gatot Subroto,Mekanik Anto,Oli & Filter,Filter Udara,1,217000
SVC012688,V003260,CAR0299,2022-04-29,22238,Cabang Setia Budi,Mekanik Beni,Pendingin,Coolant/Radiator,1,138000
SVC027801,V007318,CAR0138,2022-04-29,89266,Cabang Ringroad,Mekanik Anto,Rem & Kaki,Spooring & Balancing,1,305000
SVC028948,V008291,CAR0473,2022-04-29,145421,Cabang Ringroad,Mekanik Sahat,Tune Up,Busi (set),1,281000
SVC027802,V007318,CAR0138,2022-04-29,89266,Cabang Ringroad,Mekanik Anto,Rem & Kaki,Ban (per pcs),2,1307000
SVC028550,V007955,CAR0474,2022-04-29,134026,Cabang Krakatau,Mekanik Sahat,Pendingin,Servis AC,1,497000
SVC012687,V003260,CAR0299,2022-04-29,22238,Cabang Setia Budi,Mekanik Beni,Oli & Filter,Filter Udara,1,176000
SVC012686,V003260,CAR0299,2022-04-29,22238,Cabang Setia Budi,Mekanik Beni,Oli & Filter,Filter Oli,1,84000
SVC027590,V007146,CAR0535,2022-04-29,115922,Cabang Ringroad,Mekanik Rudi,Pendingin,Coolant/Radiator,1,253000
SVC027853,V007362,CAR0466,2022-04-29,130043,Cabang Krakatau,Mekanik Beni,Pendingin,Coolant/Radiator,1,203000
SVC018154,V004676,CAR0414,2022-05-06,60107,Cabang Krakatau,Mekanik Beni,Oli & Filter,Filter Oli,1,112000
SVC018155,V004676,CAR0414,2022-05-06,60107,Cabang Krakatau,Mekanik Beni,Oli & Filter,Filter Udara,1,161000
SVC018153,V004676,CAR0414,2022-05-06,60107,Cabang Krakatau,Mekanik Beni,Oli & Filter,Ganti Oli Mesin,1,520000
SVC027993,V007482,CAR0100,2022-05-07,69612,Cabang Gatot Subroto,Mekanik Joni,Rem & Kaki,Spooring & Balancing,1,399000
SVC003232,V000832,CAR0077,2022-05-07,65211,Cabang Gatot Subroto,Mekanik Anto,Oli & Filter,Filter Oli,1,110000
SVC028457,V007876,CAR0613,2022-05-07,47576,Cabang Ringroad,Mekanik Joni,Tune Up,Busi (set),1,365000
SVC027994,V007482,CAR0100,2022-05-07,69612,Cabang Gatot Subroto,Mekanik Joni,Rem & Kaki,Ban (per pcs),2,1135000
SVC003233,V000832,CAR0077,2022-05-07,65211,Cabang Gatot Subroto,Mekanik Anto,Pendingin,Coolant/Radiator,1,181000
SVC003231,V000832,CAR0077,2022-05-07,65211,Cabang Gatot Subroto,Mekanik Anto,Oli & Filter,Ganti Oli Mesin,1,330000
SVC028746,V008126,CAR0083,2022-05-09,50992,Cabang Ringroad,Mekanik Hasan,Kelistrikan,Aki/Accu,1,1789000
SVC027906,V007409,CAR0118,2022-05-10,57203,Cabang Gatot Subroto,Mekanik Sahat,Kelistrikan,Aki/Accu,1,1803000
SVC015261,V003934,CAR0350,2022-05-11,47324,Cabang Ringroad,Mekanik Beni,Oli & Filter,Ganti Oli Mesin,1,640000
SVC015263,V003934,CAR0350,2022-05-11,47324,Cabang Ringroad,Mekanik Beni,Oli & Filter,Filter Udara,1,152000
SVC015262,V003934,CAR0350,2022-05-11,47324,Cabang Ringroad,Mekanik Beni,Oli & Filter,Filter Oli,1,79000
SVC015265,V003934,CAR0350,2022-05-11,47324,Cabang Ringroad,Mekanik Beni,Lainnya,Wiper,1,199000
SVC027705,V007239,CAR0348,2022-05-11,57475,Cabang Sisingamangaraja,Mekanik Beni,Tune Up,Busi (set),1,337000
SVC015264,V003934,CAR0350,2022-05-11,47324,Cabang Ringroad,Mekanik Beni,Rem & Kaki,Kampas Rem Depan,1,718000
SVC002716,V000698,CAR0066,2022-05-12,12029,Cabang Sisingamangaraja,Mekanik Dani,Oli & Filter,Filter Oli,1,74000
SVC002715,V000698,CAR0066,2022-05-12,12029,Cabang Sisingamangaraja,Mekanik Dani,Oli & Filter,Ganti Oli Mesin,1,520000
SVC002717,V000698,CAR0066,2022-05-12,12029,Cabang Sisingamangaraja,Mekanik Dani,Rem & Kaki,Kampas Rem Depan,1,543000
SVC027568,V007129,CAR0028,2022-05-12,67685,Cabang Krakatau,Mekanik Sahat,Rem & Kaki,Kampas Rem Depan,1,580000
SVC028103,V007576,CAR0279,2022-05-14,67144,Cabang Setia Budi,Mekanik Hasan,Oli & Filter,Filter Kabin/AC,1,166000
SVC028112,V007583,CAR0214,2022-05-14,176489,Cabang Setia Budi,Mekanik Sahat,Pendingin,Servis AC,1,305000
SVC019940,V005141,CAR0451,2022-05-14,15572,Cabang Gatot Subroto,Mekanik Joni,Rem & Kaki,Kampas Rem Depan,1,551000
SVC027540,V007104,CAR0344,2022-05-14,109076,Cabang Krakatau,Mekanik Beni,Kelistrikan,Aki/Accu,1,1204000
SVC019939,V005141,CAR0451,2022-05-14,15572,Cabang Gatot Subroto,Mekanik Joni,Oli & Filter,Filter Kabin/AC,1,114000
SVC019938,V005141,CAR0451,2022-05-14,15572,Cabang Gatot Subroto,Mekanik Joni,Oli & Filter,Filter Udara,1,214000
SVC019937,V005141,CAR0451,2022-05-14,15572,Cabang Gatot Subroto,Mekanik Joni,Oli & Filter,Filter Oli,1,66000
SVC028102,V007576,CAR0279,2022-05-14,67144,Cabang Setia Budi,Mekanik Hasan,Pendingin,Servis AC,1,427000
SVC026941,V006937,CAR0607,2022-05-14,63737,Cabang Gatot Subroto,Mekanik Beni,Oli & Filter,Filter Udara,1,150000
SVC019936,V005141,CAR0451,2022-05-14,15572,Cabang Gatot Subroto,Mekanik Joni,Oli & Filter,Ganti Oli Mesin,1,450000
SVC026940,V006937,CAR0607,2022-05-14,63737,Cabang Gatot Subroto,Mekanik Beni,Oli & Filter,Ganti Oli Mesin,1,780000
SVC019941,V005141,CAR0451,2022-05-14,15572,Cabang Gatot Subroto,Mekanik Joni,Pendingin,Coolant/Radiator,1,227000
SVC000594,V000155,CAR0015,2022-05-15,59722,Cabang Setia Budi,Mekanik Tigor,Oli & Filter,Ganti Oli Mesin,1,650000
SVC000595,V000155,CAR0015,2022-05-15,59722,Cabang Setia Budi,Mekanik Tigor,Oli & Filter,Filter Oli,1,94000
SVC000596,V000155,CAR0015,2022-05-15,59722,Cabang Setia Budi,Mekanik Tigor,Oli & Filter,Filter Udara,1,194000
SVC000597,V000155,CAR0015,2022-05-15,59722,Cabang Setia Budi,Mekanik Tigor,Oli & Filter,Filter Kabin/AC,1,172000
